Categoria,Marca,Modelo,Versão,Motor,"Tipo de
Propulsão","Manual (M)
Automática (A)
Automática Dupla Embreagem (DCT)
Automatizada (MTA)
Contínua
(CVT)",Ar Cond.,"Hidráulica (H)
Mecânica (M)
Elétrica (E)
Eletro- hidráulica (E-H)","Elétrico Puro (E)
Gasolina (G)
Flex (F)
Diesel (D)","NMOG+NOx
(mg/km)","CO
(mg/km)","CHO
(mg/km)",Redução Relativa ao  Limite,"CO2
fóssil (g/km)","CO2
fóssil (g/km)","CO2e
fóssil (g/km)",Cidade (km/l),Estrada (km/l),Cidade (km/l),Estrada (km/l),Cidade (km/l e),Estrada (km/l e),Consumo Energético (MJ/km),"Autonomia no modo Elétrico (km)
Norma SAE J1634","Comparação Relativa
na Categoria",Comparação Absoluta Geral,"Selo CONPET
de Eficiência Energética"
Médio,CHEVROLET,ONIX PLUS,10TAT LT1,1.0T - 12 V,Combustão,A-6,S,E,F,45,216,4,B,0,95,\,8.4,12.2,12.3,16.8,\,\,1.53,\,A,B,SIM
Médio,CHEVROLET,ONIX PLUS,10TAT LTZ,1.0T - 12 V,Combustão,A-6,S,E,F,45,216,4,B,0,95,\,8.4,12.2,12.3,16.8,\,\,1.53,\,A,B,SIM
Médio,CHEVROLET,ONIX PLUS,10TAT PR2,1.0T - 12 V,Combustão,A-6,S,E,F,45,216,4,B,0,95,\,8.4,12.2,12.3,16.8,\,\,1.53,\,A,B,SIM
Médio,CHEVROLET,SPIN,1.8L AT ACT,1.8L -8V,Combustão,A-6,S,E,F,34,304,2,B,0,125,\,6.9,8.6,9.8,12.3,\,\,2.02,\,E,C,-
Médio,CHEVROLET,SPIN,1.8L AT LTZ5,1.8L -8V,Combustão,A-6,S,E,F,34,304,2,B,0,125,\,6.9,8.6,9.8,12.3,\,\,2.02,\,E,C,-
Médio,CHEVROLET,SPIN,1.8L AT LT,1.8L -8V,Combustão,A-6,S,E,F,29,325,1,B,0,121,\,7.2,8.8,10.2,12.6,\,\,1.94,\,D,C,-
Médio,CHEVROLET,SPIN,1.8L AT LS,1.8L -8V,Combustão,A-6,S,E,F,29,325,1,B,0,121,\,7.2,8.8,10.2,12.6,\,\,1.94,\,D,C,-
Médio,CHEVROLET,SPIN,1.8L MT LS E,1.8L-8V,Combustão,M-6,S,E,F,51,411,2,B,0,115,\,7.5,8.9,10.8,12.8,\,\,1.87,\,D,C,-
Médio,CHEVROLET,SPIN,1.8L MT LT,1.8L-8V,Combustão,M-6,S,E,F,51,411,2,B,0,115,\,7.5,8.9,10.8,12.8,\,\,1.87,\,D,C,-
Médio,FIAT,CRONOS,1.0 (MY23),1.0-6V,Combustão,M-5,S,E,F,42,549,3,B,0,89,\,9.9,11.3,13.8,16.0,\,\,1.43,\,A,B,SIM
Médio,FIAT,CRONOS,DRIVE 1.0 (MY23),1.0-6V,Combustão,M-5,S,E,F,37,528,2,B,0,88,\,9.9,11.4,14.0,16.1,\,\,1.42,\,A,B,SIM
Médio,FIAT,CRONOS,DRIVE 1.3 (CY23),1.3-8V,Combustão,M-5,S,E,F,35,206,2,A,0,95,\,9.0,10.9,12.8,15.5,\,\,1.53,\,A,B,SIM
Médio,FIAT,CRONOS,PREC 1.3AT (CY23),1.3-8V,Combustão,CVT-7,S,E,F,35,242,2,A,0,94,\,9.3,11.0,13.3,15.0,\,\,1.50,\,A,B,SIM
Médio,FIAT,CRONOS,DRIVE1.3AT (CY23),1.3-8V,Combustão,CVT-7,S,E,F,35,242,2,A,0,94,\,9.3,11.0,13.3,15.0,\,\,1.50,\,A,B,SIM
